"longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
137.789474487305,-34.9979820251465,0.32,2.64,3.07,9.79,7.37,14.28,5.94,4.71,8.13
123.315788269043,-17.0943374633789,0.32,5.48,5.82,152.33,69.27,480.1,18.69,11.54,38.38
142.684204101562,-10.9193267822266,0.32,2.39,3.16,1534.75,529.15,6881.36,36.98,22.05,76.34
139.578948974609,-17.0943374633789,0.32,3.42,4.56,9.62,6.78,15.97,3.2,2.68,4.13
123.157897949219,-16.3888320922852,0.32,5.42,6.25,542.16,220.22,1915.6,6.08,4.54,9.37
116.052635192871,-20.826171875,0.32,1.99,3.44,367.93,160.84,1161.34,3.2,2.65,4.25
153.526321411133,-28.146110534668,0.32,1.61,3.44,9346.18,2622.78,54321.93,3.77,3.07,5.09
142.736846923828,-10.9193229675293,0.32,2.38,3.15,2118.74,691.56,10309.54,39.78,23.5,83.12
113.473670959473,-25.2792816162109,0.32,1.51,2.86,6562.48,1829.3,39738.1,10.54,7.48,17.12
133.315780639648,-32.5046195983887,0.32,2.56,4.28,11.96,8.77,18.08,3.19,2.75,3.89
146.842102050781,-18.4473552703857,0.32,2.53,3.8,635.19,241.26,2532.21,7.55,5.43,12.36
127.842102050781,-14.3592748641968,0.32,4.25,5.18,198927.14,30574.14,2967141.84,7.69,5.52,12.58
125.894737243652,-14.5121669769287,0.32,4.5,4.63,48.2,27.9,103.26,24.49,15,49.68
136.789474487305,-13.7466697692871,0.32,1.93,2.94,59.43,32.11,143.47,5.39,4.23,7.57
143.842102050781,-12.6194276809692,0.32,2.08,3.4,1403.12,513.85,5632.41,12.04,8.22,20.87
143.842102050781,-13.8999681472778,0.32,2.16,3.07,956.66,346.61,4044.87,18.34,12.52,30.8
142.315795898438,-10.6091165542603,0.32,2.4,3.08,946.66,341.65,4038.25,34.95,21.63,67.42
115.631576538086,-21.1209907531738,0.32,1.99,3.23,337.41,151.01,1024.63,4.39,3.42,6.41
149.578948974609,-22.1481990814209,0.32,4.26,5.24,45.67,26.55,97.37,5.85,4.48,8.6
116.684211730957,-20.5307750701904,0.32,4.02,5.48,134.03,66.41,358.71,3.05,2.55,3.99
125,-14.410249710083,0.32,4.43,5.53,118.02,61.7,287.6,4.08,3.26,5.65
146.947372436523,-41.0038414001465,0.32,2.36,4,90.54,47.13,227.06,4.45,3.62,5.92
132,-36.9985275268555,0.32,1.85,5.31,1119.36,421.07,4340.14,2.82,2.43,3.45
129.157897949219,-14.0531768798828,0.32,4.28,5.8,16459.42,3652.38,145948.16,4.23,3.41,5.73
143.263153076172,-11.9509553909302,0.32,2.06,2.72,3047.27,927.06,16546.91,87.07,44.38,228.56
136.473678588867,-11.4871845245361,0.32,2.4,2.84,405.05,160.56,1543.34,98.53,50.88,249.19
134.789474487305,-34.6524314880371,0.32,2.07,5.23,30.76,19.9,55.17,2.46,2.18,2.91
143.736846923828,-13.6444044113159,0.32,2.09,3.05,952.76,362.74,3653.72,37.17,21.35,82.7
153.473678588867,-29.1159839630127,0.32,1.56,3.11,15748.64,4144.6,99609.65,5.48,4.25,7.91
145.315795898438,-15.427264213562,0.32,2.19,2.9,431.93,189.05,1344.42,27.2,16.63,54.79
151.052627563477,-17.4461059570312,0.32,2.88,4.99,1310.81,472.8,5447.12,3.2,2.65,4.24
144.210525512695,-9.36522960662842,0.32,2.41,3.59,750.84,285,2952.96,12.17,8.62,19.62
146.157897949219,-17.9474449157715,0.32,2.39,3.42,342.64,146.64,1133.82,9,6.32,15.13
125.578941345215,-11.0226573944092,0.32,4.3,5.21,4082.06,1292.8,20004.92,16.67,11.08,29.65
127.631576538086,-14.1552562713623,0.32,4.26,5.17,67194.29,12922.81,700260.04,7.36,5.32,11.87
144.473678588867,-14.1552562713623,0.32,2.16,2.81,1030.04,397.84,3820.5,38.56,21.97,86.97
116.842102050781,-20.333517074585,0.32,4.02,5.67,133.8,65.62,365.45,2.78,2.36,3.54
136.631576538086,-12.9786567687988,0.32,2.48,3.19,100.59,50.71,266.55,13.92,9.19,25.55
137.315795898438,-34.2619476318359,0.32,2.54,3.97,8.56,6.53,12.29,2.97,2.57,3.59
132.789474487305,-9.52097320556641,0.32,4.16,5.41,34491.81,8108.53,255592.79,9.87,7.1,15.71
122.157897949219,-17.6468105316162,0.32,5.51,6.28,102.47,53.49,253.04,7.21,5.27,11.38
129.052627563477,-10.8676490783691,0.32,4.17,5.44,25705.48,5909.36,203584.28,7.01,5.23,10.66
145.947357177734,-43.3430671691895,0.32,1.57,4.6,99.65,52.43,242.87,3.16,2.69,3.96
