"state","lga","longitude","latitude","SWL_pc5","SWLpc50","SWLpc95","MTWL_pc5","MTWLpc50","MTWLpc95"
"SA","Kingston (SA)",139.789474487305,-36.4079399108887,1.45400193877561,1.53962445523953,1.62767823620799,3.34013883334996,3.50807921045999,3.68078828036963
"SA","Kingston (SA)",139.736846923828,-36.3655700683594,1.44795092613971,1.53165826143735,1.61774247937618,3.32333054811514,3.49441543046833,3.67035829433043
"SA","Kingston (SA)",139.736831665039,-36.3232002258301,1.44825436121804,1.53205773550653,1.61824071947811,3.32668995494559,3.49910396345002,3.67641369420454
"SA","Kingston (SA)",139.684204101562,-36.2807922363281,1.4410863484199,1.52262100440673,1.60647084947205,3.32034439830165,3.49246394735809,3.66947085744338
"SA","Coorong",139.684204101562,-36.2383651733398,1.44146242972065,1.52311611765594,1.60708837460017,3.3220251878737,3.49488457045834,3.67265232175847
"SA","Coorong",139.631576538086,-36.195915222168,1.43406579455708,1.51337840386445,1.59494310689361,3.29346238428096,3.46556079841677,3.64254597345213
"SA","Coorong",139.631576538086,-36.1534423828125,1.43396802074762,1.51324968406798,1.59478256239407,3.29514571066707,3.46763884228887,3.64502994287385
"SA","Coorong",139.57893371582,-36.1109466552734,1.42875396445309,1.50638534822256,1.58622108705647,3.28910016868477,3.45905131973448,3.63382825981864
"SA","Kangaroo Island",136.894729614258,-36.0684242248535,1.83237135821123,1.88275878743846,1.93457697545688,3.48821903550838,3.59950863136998,3.71395831239745
"SA","Kangaroo Island",136.947372436523,-36.0684242248535,1.83343531998449,1.88415949938436,1.93632399964829,3.49424431265736,3.60512231343815,3.71914871207929
"SA","Kangaroo Island",137,-36.0684242248535,1.83364868176374,1.88444039142437,1.9366743394812,3.51419526637723,3.62690891429511,3.7428230835557
"SA","Kangaroo Island",137.052627563477,-36.0684242248535,1.83324665284736,1.88391111798625,1.93601420839359,3.57034236909553,3.68535519933465,3.8036338365516
"SA","Kangaroo Island",137.105270385742,-36.0684242248535,1.83239577783377,1.88279093601547,1.93461707245321,3.58622225458168,3.70130939995238,3.81966446249048
"SA","Kangaroo Island",137.157897949219,-36.0684242248535,1.83174997043786,1.88194072677211,1.93355665734056,3.58955083445707,3.70498400901424,3.82369492629071
"SA","Kangaroo Island",137.421051025391,-36.0684242248535,1.83258171687327,1.88303572585696,1.93492238417427,3.60973344852146,3.72315208239379,3.83979125579328
"SA","Kangaroo Island",137.473678588867,-36.0684242248535,1.34303698810399,1.39353844360982,1.44547389570054,2.97723288566215,3.08372318965292,3.19323730217985
"SA","Kangaroo Island",137.526321411133,-36.0684242248535,1.34272515518641,1.39312791373576,1.44496186635477,2.77442425540942,2.87459093556531,2.97760186398741
"SA","Kangaroo Island",137.578948974609,-36.0684242248535,1.34222259342497,1.39246628821453,1.44413666043386,2.88404114271133,2.98888965330838,3.09671535346603
"SA","Coorong",139.578948974609,-36.0684127807617,1.43080282162183,1.50908268076196,1.58958530852428,3.21726938493161,3.37872622895747,3.54476766486531
"SA","Kangaroo Island",136.684204101562,-36.0258827209473,1.83403865660102,1.88495379559632,1.93731467778273,4.06643181763162,4.21507979845284,4.3679486615182
"SA","Kangaroo Island",136.736846923828,-36.0258827209473,1.83481654422929,1.88597788924411,1.93859196850777,3.56539125839227,3.68159774385735,3.8011039303237
"SA","Kangaroo Island",136.789474487305,-36.0258827209473,1.83606264801076,1.88761839221743,1.94063806969856,3.42622821612988,3.53526812285529,3.64740423447806
