NCRA,central,lga,LGA,longitude,latitude,SLR,SWL_AEPPC,MTWL_AEPPC,SWL_MFSLR_50,SWL_MFSLR_10,SWL_MFSLR_90,MTWL_MFSLR_50,MTWL_MFSLR_10,MTWL_MFSLR_90
WASouth,WA,Dandaragan,Dandaragan,115.1578979,-30.80266762,0.06,1,3.15,2.75,2.41,3.3,1.25,1.21,1.3
NSW,NSW,Kempsey,Kempsey,153.0526276,-30.80266762,0.06,1.39,2.51,7.01,5.26,10.53,1.34,1.28,1.43
WASouth,WA,Dandaragan,Dandaragan,115.1052475,-30.75745964,0.06,1,3.18,2.77,2.42,3.33,1.24,1.21,1.29
NSW,NSW,Nambucca Valley,Nambucca_Valley,153.0526276,-30.75745964,0.06,1.39,2.58,6.99,5.25,10.49,1.33,1.27,1.41
WASouth,WA,Dandaragan,Dandaragan,115.1052475,-30.71223068,0.06,1,3.18,2.79,2.43,3.35,1.24,1.2,1.29
NSW,NSW,Nambucca Valley,Nambucca_Valley,153,-30.71223068,0.06,1.4,2.29,6.76,5.11,10.03,1.4,1.33,1.5
WASouth,WA,Dandaragan,Dandaragan,115.1052475,-30.66698265,0.06,1,3.18,2.79,2.44,3.36,1.24,1.2,1.29
NSW,NSW,Nambucca Valley,Nambucca_Valley,153,-30.66698265,0.06,1.4,2.57,6.68,5.06,9.89,1.33,1.27,1.42
WASouth,WA,Dandaragan,Dandaragan,115.1052475,-30.62171173,0.06,1,3.2,2.8,2.44,3.37,1.24,1.2,1.29
NSW,NSW,Nambucca Valley,Nambucca_Valley,153.0526276,-30.62171173,0.06,1.4,2.54,6.86,5.17,10.21,1.34,1.28,1.43
WASouth,WA,Dandaragan,Dandaragan,115.0526352,-30.57641983,0.06,0.99,3.19,2.86,2.48,3.46,1.24,1.2,1.29
NSW,NSW,Nambucca Valley,Nambucca_Valley,153.0526276,-30.57641983,0.06,1.4,2.55,6.79,5.13,10.09,1.34,1.28,1.43
WASouth,WA,Dandaragan,Dandaragan,115.0526352,-30.53110695,0.06,0.99,3.15,2.87,2.49,3.48,1.26,1.22,1.32
NSW,NSW,Bellingen,Bellingen,153.0526276,-30.53110695,0.06,1.4,2.51,6.69,5.07,9.89,1.35,1.29,1.45
WASouth,WA,Dandaragan,Dandaragan,115,-30.48577118,0.06,0.99,3.14,2.87,2.49,3.48,1.26,1.22,1.32
NSW,NSW,Bellingen,Bellingen,153.0526276,-30.48577118,0.06,1.4,2.51,6.52,4.97,9.58,1.35,1.29,1.45
WASouth,WA,Dandaragan,Dandaragan,115,-30.44041634,0.06,0.99,3.25,2.87,2.49,3.48,1.23,1.2,1.28
NSW,NSW,Coffs Harbour,Coffs_Harbour,153.1052704,-30.44041634,0.06,1.4,2.67,6.8,5.14,10.06,1.32,1.26,1.4
WASouth,WA,Dandaragan,Dandaragan,115,-30.3950386,0.06,0.99,3.24,2.86,2.48,3.47,1.23,1.2,1.28
NSW,NSW,Coffs Harbour,Coffs_Harbour,153.1052704,-30.3950386,0.06,1.4,2.6,6.62,5.03,9.72,1.33,1.28,1.42
WASouth,WA,Dandaragan,Dandaragan,115,-30.3496418,0.06,1,3.18,2.83,2.46,3.44,1.24,1.2,1.29
NSW,NSW,Coffs Harbour,Coffs_Harbour,153.1578979,-30.3496418,0.06,1.4,2.72,6.89,5.21,10.2,1.31,1.26,1.39
WASouth,WA,Dandaragan,Dandaragan,115,-30.25878334,0.06,1,3.14,2.78,2.42,3.35,1.25,1.21,1.3
NSW,NSW,Coffs Harbour,Coffs_Harbour,153.2105255,-30.25878334,0.06,1.39,2.6,7,5.29,10.39,1.35,1.29,1.44
WASouth,WA,Dandaragan,Dandaragan,115,-30.21332169,0.06,1,3.02,2.8,2.44,3.4,1.27,1.23,1.33
NSW,NSW,Coffs Harbour,Coffs_Harbour,153.2105255,-30.21332169,0.06,1.4,2.71,6.82,5.18,10.04,1.32,1.26,1.4
WASouth,WA,Dandaragan,Dandaragan,115,-30.16784096,0.06,1,3.02,2.84,2.46,3.46,1.27,1.23,1.32
NSW,NSW,Coffs Harbour,Coffs_Harbour,153.2105255,-30.16783905,0.06,1.4,2.71,6.58,5.03,9.58,1.32,1.26,1.4
WASouth,WA,Coorow,Coorow,115,-30.12233734,0.06,0.99,3.02,2.88,2.49,3.53,1.27,1.23,1.32
NSW,NSW,Coffs Harbour,Coffs_Harbour,153.2631531,-30.12233734,0.06,1.4,2.66,6.93,5.24,10.24,1.32,1.27,1.4
WASouth,WA,Coorow,Coorow,115,-30.07681274,0.06,0.99,3.12,2.9,2.5,3.56,1.25,1.21,1.3
NSW,NSW,Coffs Harbour,Coffs_Harbour,153.2631531,-30.07681274,0.06,1.4,2.61,6.8,5.17,9.99,1.34,1.28,1.42
WASouth,WA,Coorow,Coorow,114.9473572,-30.03126717,0.06,0.99,3.08,2.86,2.47,3.49,1.26,1.22,1.31
